,condition,date,price_log,bedrooms,bathrooms,waterfront,sqft_living,floors,zipcode,grade_int,yr_built
0,Average,2014-10-13,12.309982108920686,3,1.0,0.0,1180,1.0,98178,7,1955
1,Average,2014-12-09,13.195613839143922,3,2.25,0.0,2570,2.0,98125,7,1951
2,Average,2015-02-25,12.100712129872347,2,1.0,0.0,770,1.0,98028,6,1933
3,Very Good,2014-12-09,13.311329476916953,4,3.0,0.0,1960,1.0,98136,7,1965
4,Average,2015-02-18,13.142166004700508,3,2.0,0.0,1680,1.0,98074,8,1987
5,Average,2014-05-12,14.0225247273486,4,4.5,0.0,5420,1.0,98053,11,2001
6,Average,2014-06-27,12.458774999085929,3,2.25,0.0,1715,2.0,98003,7,1995
7,Average,2015-01-15,12.583995250631936,3,1.5,0.0,1060,1.0,98198,7,1963
8,Average,2015-04-15,12.343658308482738,3,1.0,0.0,1780,1.0,98146,7,1960
9,Average,2015-03-12,12.685407602204794,3,2.5,0.0,1890,2.0,98038,7,2003
10,Average,2015-04-03,13.403775836842515,3,2.5,0.0,3560,1.0,98007,8,1965
11,Good,2014-05-27,13.056223574899784,2,1.0,0.0,1160,1.0,98115,7,1942
12,Good,2014-05-28,12.644327576461329,3,1.0,0.0,1430,1.5,98028,7,1927
13,Good,2014-10-07,12.89921982609012,3,1.75,0.0,1370,1.0,98074,7,1977
14,Average,2015-03-12,13.180632285528304,5,2.0,0.0,1810,1.5,98107,7,1900
15,Average,2015-01-24,13.38472764187182,4,3.0,0.0,2950,2.0,98126,9,1979
16,Average,2014-07-31,12.886641043883259,3,2.0,0.0,1890,2.0,98019,7,1994
17,Good,2014-05-29,13.091904169919621,4,1.0,0.0,1600,1.5,98103,7,1916
18,Good,2014-12-05,12.14950229404178,2,1.0,0.0,1200,1.0,98002,7,1921
19,Good,2015-04-24,12.345834587905333,3,1.0,0.0,1250,1.0,98003,7,1969
20,Good,2014-05-14,12.86099861326992,4,1.75,0.0,1620,1.0,98133,7,1947
21,Average,2014-08-26,14.508657738524219,3,2.75,0.0,3050,1.0,98040,9,1968
22,Average,2014-07-03,12.560244459250788,5,2.5,0.0,2270,2.0,98092,8,1995
23,Average,2014-05-16,12.439958293376286,2,1.5,0.0,1070,1.0,98030,7,1985
24,Good,2014-11-20,12.70381302974751,3,2.25,0.0,2450,2.0,98030,8,1985
25,Very Good,2014-11-03,12.358793732547838,3,2.0,0.0,1710,1.5,98002,6,1941
26,Average,2014-06-26,13.750438561220559,3,1.75,0.0,2450,2.0,98119,8,1915
27,Very Good,2014-12-01,13.410545324897761,3,1.0,0.0,1400,1.5,98112,8,1909
28,Average,2014-06-24,12.989974189358584,3,1.75,0.0,1520,1.0,98115,7,1948
29,Average,2015-03-02,13.485616636703183,4,2.5,0.0,2570,2.0,98052,8,2005
30,Average,2014-11-10,13.271645080120082,3,2.5,0.0,2320,2.0,98027,8,2003
31,Average,2014-12-01,12.542544882151386,2,1.5,0.0,1190,3.0,98133,7,2005
32,Good,2014-06-24,13.440817108522863,4,1.75,0.0,2330,1.5,98117,7,1929
33,Good,2014-11-10,13.190022025878143,3,1.0,0.0,1090,1.5,98117,8,1929
34,Average,2014-12-03,12.683858415217964,4,2.75,0.0,2060,1.0,98058,7,1981
35,Average,2014-06-13,13.453104939316557,3,2.5,0.0,2300,1.5,98115,8,1930
36,Poor,2014-05-28,13.217673557208654,4,1.0,0.0,1660,1.0,98052,5,1933
37,Good,2014-12-30,13.369223455335854,4,2.0,0.0,2360,2.0,98107,8,1904
38,Fair,2015-02-13,12.388394202324129,4,1.0,0.0,1220,1.0,98001,7,1969
39,Average,2014-06-20,13.312983737012978,4,2.5,0.0,2620,2.0,98056,8,1996
40,Average,2014-07-15,13.345506928718539,4,2.5,0.0,2570,2.0,98074,9,2000
41,Average,2014-08-11,13.560618308335483,4,2.25,0.0,4220,1.0,98166,8,1984
42,Average,2014-07-07,13.666998948650464,5,2.75,0.0,3595,2.0,98053,9,2014
43,Average,2014-10-28,13.437174117244362,3,1.0,0.0,1570,2.0,98119,7,1922
44,Good,2014-07-29,12.641096555879882,3,1.0,0.0,1280,1.0,98058,6,1959
45,Average,2014-07-18,13.098070684835283,3,2.5,0.0,3160,2.0,98019,8,2003
46,Average,2015-03-25,12.257193425037888,3,1.0,0.0,990,1.0,98023,6,1966
47,Good,2014-07-16,13.573438996764546,4,2.5,0.0,2290,2.0,98007,9,1981
48,Good,2015-04-28,13.017002861746503,3,1.75,0.0,1250,1.0,98115,7,1953
49,Very Good,2015-03-11,14.115615150414612,3,2.5,1.0,2753,1.0,98070,9,1953
50,Average,2014-09-16,12.337100907936577,3,1.0,0.0,1190,1.0,98148,7,1955
51,Good,2015-02-17,12.751299696013497,5,2.5,0.0,3150,1.0,98056,8,1966
52,Good,2014-12-31,13.304684934198283,3,1.75,0.0,1410,1.0,98117,7,1950
53,Average,2015-02-05,13.279367126213993,2,1.75,0.0,1980,1.0,98117,7,1981
54,Average,2015-03-03,13.732128949025222,5,2.25,0.0,2730,1.5,98105,8,1927
55,Average,2014-05-12,13.693342923990066,4,2.5,0.0,2830,2.0,98105,9,1995
56,Average,2014-08-19,12.58621994565405,4,2.5,0.0,2250,2.0,98042,7,2008
57,Average,2015-04-07,12.614865543731012,3,2.5,0.0,2420,2.0,98042,8,2003
58,Good,2014-08-27,13.765269341527528,5,3.25,0.0,3250,2.0,98008,8,1968
59,Average,2015-02-23,12.971540487669746,4,3.0,0.0,1850,2.0,98059,8,1991
60,Good,2014-12-10,13.38472764187182,3,2.25,0.0,2150,1.0,98166,8,1959
61,Average,2014-08-28,12.57418196709457,3,1.75,0.0,1260,1.0,98148,7,1954
62,Very Good,2014-10-21,13.132313708257497,3,1.75,0.0,2519,2.0,98166,8,1973
63,Average,2014-12-07,13.215853720491667,3,1.75,0.0,1540,3.0,98115,8,2014
64,Average,2014-06-03,12.959844447906553,3,2.25,0.0,1660,1.0,98122,7,1979
65,Very Good,2014-11-20,12.668626720622465,3,2.75,0.0,2770,1.5,98144,7,1925
66,Average,2014-09-09,13.790192749979985,4,2.5,0.0,2720,2.0,98004,10,1989
67,Average,2014-10-09,12.567237494741757,4,2.5,0.0,2240,2.0,98001,7,2005
68,Good,2014-08-25,12.225875272826354,3,1.0,0.0,1000,1.0,98042,7,1968
69,Average,2014-06-12,14.100689500197937,5,2.25,0.0,3200,1.0,98004,8,1965
70,Good,2014-09-12,13.854731271117556,5,3.25,0.0,4770,1.0,98005,11,1973
